ID,code,author,title,subject,publisher,publication Date,format,notes,loaned to,date from,date to
3710,726,"brabbs,derry",english country churches,architecture,weidenfeld&nicolson,1986,p/b,,,,
3711,728,"evans,tony/green,candida lycett",english cottages,architecture,weidenfeld&nicolson,1982,h/b+wrapper+plastic wrap,,,,
3712,728,anon,new housing ideas,architecture,national architects,1986,p/b,,,,
3713,711,"sandle,michael/crosby,theo/guedes,pedro",the battle of britain monument,area planning/monuments,pentagram,1987,pamphlet,,,,
3714,735.239,"read,herbert",a concise history of modern sculpture,art/sculpture,thames&hudson,1964,h/b+wrapper+plastic wrap,,,,
3715,510pure/add,"bostock,l./chandler,s./rourke,c.",further pure mathematics,mathematics,stanley thornes,2002,p/b,1st ed,,,
3716,742,anon,three views on perspective,drawing,,0,photocopy sheets,,,,
3718,741.6,"frewin,anthony",one hundred years of science fiction illustration,art/illustration,bllomsbury,1988,h/b+wrapper+plastic wrap,,,,
3719,741,"gair,angela",drawing,art/drawing,letts,1995,h/b+wrapper,,,,
3720,739,"cook,malcolm",discovering brasses,monumental brasses,shire,0,pamphlet,,,,
3721,739,"brown,r.a",the history and origin of horse brasses,art/craft/horse brasses,hoveglen,1974,pamphlet,,,,
3722,739,"clayton,muriel",brass rubbings,monumental brasses,hmso,1968,p/b,victoria and albert museum collection,,,
3723,735.23,"shepherd,michael",barbara hepworth,art/sculpture,methuen,1963,p/b,,,,
3724,745,"ketchum,william.c.jnr",american folk art,decorative arts,todtri,1995,h/b+wrapper,,,,
3725,745,"hulbert,anne",victorian crafts revived,decorative art,batsford,1978,h/b+wrapper,,,,
3726,745.103,"ramsey,l.g.g (ed)",the concise encyclopaedia of antiques,antiques,the connoisseur,1954,h/b,,,,
3729,745.2,"smart,julie",investigating design,art/design,national trust,1995,p/b,,,,
3730,745.2,"green,roger/lewis,david",the advertising art of printed pot lids,art/design,old bottles and treasure hunting,1979,p/b,,,,
3731,745.6,"richardson,marion",writing & writing patterns,art/lettering,hodder & stoughton,1980,pamphlet,,,,
3732,745.6,"grislis,peter",the calligraphy book,art/lettering,scholastic,1991,spiral bound,,,,
3733,745.6,"brookfield,karen",writing,art/lettering,dk,1994,h/b+wrapper,eyewitness guides,,,
3734,745.6,"tarr,john.c",good handwriting,art/lettering,aldine,1965,p/b,,,,
3735,745.6,"fairbanks,alfred",a book of scripts,art/lettering,penguin,1949,h/b,,,,
3736,745.5,"dearling,alan/armstrong,howie",the new youth arts & crafts book,arts/handicrafts,ahp,1996,p/b,,,,
3737,745.54,"caldecott,barrie",papier mache,art/handicraft/paper,watts,1992,h/b,,,,
3738,745.592,"boulton,vivienne",the dolls house decorator,art/handicrafts/toys,bca,1992,h/+wrapper+plastic wrap,,,,
3739,745.592,"philpott,violet/mcneil,mary jead",the know how book of puppets,art/handicrafts/toys,usbourne,1975,p/b,,,,
3740,745.594,"crush,margaret/duncan,amanda/kingsley-heath,heather/leach,alison",crafts for decoration,art/handicraft,merlion,1993,h/b,,,,
3741,745.905,anon,ikebana international magazine,art/floristry,ikebana international,1960,magazine,,,,
3742,746,anon,arts and crafts - textiles and interiors,art/textiles,quantum,1999,h/b+wrapper,,,,
